rating,title,review
Excelent,Excellent Hampton Inn & Suites Brickell ,"This by far is the nicest, cleanest and most up to date Hampton Inn I’ve ever stayed in. Front Desk staff were very customer service friendly and made it a point to welcome you.  The Operational Manager Victoria Greber had her desk up front and interacted with guests and helping the staff with check outs. She was available for questions and had a very pleasant and welcoming attitude about her.  The hotel was spotless !! Staff was continually wiping down and cleaning public areas.  The rooms were fresh, crisp, clean and up to date !! The breakfast staff (the two women) were outstanding !! They remembered me from the previous visits. They greeted each and every guest with a smile and a good morning, they went out of their way to accommodate people’s requests. I highly recommend"
Excelent,Perfect Stay,This hotel exceeded my expectations on every level. My husband and I traveled with our teenagers who stayed next door to our king suite in their own double queen room. The newly renovated rooms were meticulously clean and very comfortable. Our kids enjoyed the pool and hot tub daily (and nightly!) and we were able to walk out the front door of the hotel and enjoy the restaurants and shops in the trendy Brickell neighborhood.  I enjoyed my morning coffee (available 24 hours/day in the lobby) in the shade off the pool deck in comfy cushioned chairs. Free buffet breakfast for all 5 of us was much appreciated as it helped save us the cost of that meal every day. The staff was welcoming and very helpful. I highly recommend this hotel!
Excelent,Another visit,"We have stayed here before and had a good experience. We came back for our first Covid vaccine reservation and this experience went from good to great. The hotel was immaculate our room felt clean. What impressed us most of all was the elevators were clearly marked for three people only. Beyond the interior of the elevator  being marked, they had signs clearly posted at the elevator doors with graphics and wording about the three people policy. There was no avoiding the three person to an elevator expectation.  Breakfast was very well handled and the food attendant could not have been nicer. You knew she liked her job.  So nice.  We are scheduled for our second vaccine in a few weeks and our room is already booked at the Hampton Inn Brickell"
Excelent,Hampton Inn & Suites by Hilton Miami Brickell Downtown,"Perfect, safe downtown location for a stay in Miami. Restaurants and Publix (supermarket) near by. Convenient parking garage next door. Clean, fresh, modern and spacious rooms with newer comfy beds. Professional, friendly and engaged staff. Great American breakfast with awesome waffle making station, also catering to the EURO - cruise line traveller offering wider selection of cheeses and cold cuts. Family friendly Good value for money considering hotel category, location & amenities. Will definitely return."
Excelent,Our favorite Hotel on our way to somewhere else,"we have traveled several time to South America and we seem to always get routed through Miami. The Hampton Inn is where we always stay since is reasonably priced, in a good location, and the service is always exceptional. When we stayed a couple of weeks ago, I left a book on the bedside stand and the hotel returned it to our home promptly at their expense. The included breakfast is very good as well. You can't go wrong staying here."
Very Good,Good Stay,"An all around well-managed facility. Much more attractive than the drab entry would lead you to expect. Bright, clean and well planned common areas. Good security . Nice small pool and hot tub with a bar for happy hour.  Room was exceptionally well appointed, good lighting and layout.  There was an AC prob first nite that sounded like a commercial vac was running thru the ducts  the middle of the night(so no sleep). Resolved by the second nite. Front desk staff was not particularly friendly and acted like they were doing us a HUGE favor granting a 30 minute later checkout. We are Diamond members and expect better. Later discovered we could have paid a (smallish) sum to extend our stay several hours, this option was.  not offered.  There is an open air pub affiliated with the"
Excelent,Best Hampton Inn Ever,"The reviews speak for themselves. We stayed here for two days before a cruise out of Miami. This Hampton Inn had a great location on a quiet street, but was short walk away from nightlife, restaurants and ocean. Main floor 6 was a perfect place to relax or get a drink and the pool was lovely.  The breakfast was better than usual with more fruits and healthy options.  I would stay here every time I am in Miami. Thank you everyone."
Excelent,Roomy and great services,"The Hampton Inn suites at Brickell in Miami was quite a nice hotel for its category. The room was very roomy and had a coffee maker and fridge as well as a safe. Breakfast was included and even though it was not top notch it certainly had a great variety. Hot coffee was available 24 hours a day. The concierge and reception services were very good and the location of the hotel was in a very attractive area with plenty of restaurants to choose from. The metro stop was half a block away. All in all a highly recommended hotel even though the looks from outside are nothing fantastic, but inside is where the jewel is."
Very Good,Great pre-cruise hotel,"I stayed here for a night prior to my cruise in October and December 2019.  Room was comfortable.    Enjoyed a free drink at the bar as a Hilton Diamond Member.   I didn't try the complimentary breakfast so can't comment on it.  They offer transport to the Miami cruise port for a fee that was very reasonable.  The gym was great, clean, and had all the needed equipment.  2 thumbs up!"
Very Good,Great value and good location,"We spent two nights here after a cruise.  Since we arrived from the cruise in the morning, we waited in the large and comfortable 6th floor lobby until our room was ready at noon.   I chose this hotel because it was a more affordable option that was a short Lyft ride to the activities and tours I wanted to take.  It is an excellent value, because it has a full hot breakfast and no resort fee.  There are so many restaurants within walking distance that we had difficulty choosing.  The room and bathroom were large and clean, and I loved the thick towels.  The beds were absolutely heavenly.  I would definitely consider this hotel if I return to Miami."
Very Good,Great stay!,"We stayed here for 4 nights in January prior to a Disney cruise. We had a wonderful stay and would definitely stay here again. The staff were very friendly and helpful, from check in to concierge. The hotel included breakfast every day and it was delicious and filling. It had everything from eggs, breakfast meats, waffles, cereal, fresh fruit, toast, pastries, juice, smoothies, and even lunch meats. There is a Starbucks right down the street and several other restaurants within walking distance. The concierge recommended a pizza place around the corner and we walked over and picked up a pizza and took it back to the room one night. The Metro Mover is a free transportation system in Miami and it is within walking distance from the hotel. The concierge gave us step by step"
Very Good,Pre-cruise Hotel,Front desk was great!!! Check in was fast and friendly. Room was clean and comfortable.  Location was great for precruise because we could walk to a store to purchase wine and there were a lot of restaurant options nearby. There was shuttle service to our port (I think it was $8-$10 pp but don’t quote me). Area was safe and walkable. There was free breakfast... it wasn’t horrible but it wasn’t great. However it was convenient to start our day prior to heading to our ship.  I would definitely consider this hotel again for a Miami cruise.
Excelent,Awesome Staff and Stay,"Just wanted to send a big THANK YOU to Nikkiea for making our stay at the Hampton Inn and Suites (Hilton Miami Brickell Downtown) over the holidays such an AWESOME experience.  Although we’re not new to the Miami area, it was the first time staying downtown at this hotel.  The hotel and staff are exceptional however, my wife and I truly appreciated the extra time/attention we received from Nikkiea.  We have been Hilton Honors members since ~ 2002 and Nikkiea definitely made this one of our best experiences to date.  We would highly recommend this hotel to anyone visiting the downtown Miami area!  Thank you again for everything Nikkiea and continue the great work!  Hope to see you in the future!"
Excelent,A Gem Among Miami Hotels,"I just had to take a moment to recognize Sales Manager, Christina Delaney, of the Hampton Inn & Suites by Hilton Miami-Brickell/Downtown. While making travel arrangements for a group that regularly travels to Miami in the spring, I was transferred to Ms. Delaney for assistance with our booking. She went above and beyond in making sure our multiple room reservation was accurate according to our preferences. Additionally, she was so willing to work with us to ensure ease during the check-in process.  Ms. Delaney demonstrates such professionalism, exceptional customer service, and the most refreshing disposition of any hospitality representative I have ever come across. I am speaking as someone who makes a tremendous amount of travel arrangements each year. She is incredibly"
Very Good,Nice hotel,"Stayed here for 2 nights before our cruise.  Was allowed the room earlier which was a bonus, room was clean, wifi was good.  We paid extra for higher floor room, where there were free snacks, robe etc included and bed turn down, which to be honest we didn't like. We were there two nights but only received the one nights free snacks which I felt a bit mean with us being there two nights. We also got a drinks voucher for one free drink each on both nights. Husband was given a plastic cup with his wine in, and when he asked for it to be in a glass barman moaned and said they were all used but husband asked him to wash one which he did regrudingly. The night after husband asked for a glass of rose wine and was told that wasn't included in the free deal, so he asked for a red wine"
Excelent,Top notch!,This Hampton Inn has all the trappings of a higher end brand.  Service is truly outstanding.  I had a glitch (noisy neighbors) the first night (rather very early morning).  Victoria at the Front Desk handled it professionally and fairly.  She is a true professional and the entire team is committed to providing the best service.  Nikkia downstairs (street level) lobby was also very helpful with recommendations.  Breakfast was very good and there is plenty of space to sit with social distancing.  We were upgraded to an Elite Floor.  Good size room and amenities.  Very clean and comfortable hotel throughout.  Great location in Brickell with perfect access to public transportation and restaurants. Congratulations!!!!
Excelent,One of the best,"I stayed for 2 days of business and 2 for leisure and am so glad I chose this hotel. It's no wonder they win the awards they do! From the moment you step out of the elevator someone is greeting you from the front desk. And even during an uncontrollable power outage the staff was calm, cool, and collected. The rooms are spacious and comfortable and the complimentary breakfast was good. A special shout out to Dee-andra and Victoria (Tory) for assisting with my questions and stay. I often stay in south beach when I travel to Miami but may reconsider and just rent a car because this was by far some of the best service I've encountered in quite some time. Thank you! "
Very Good,Nice hotel,"Stayed two nights prior to a cruise.  We were happy with our stay overall. Great location with many other places within walking distance. The metro mover is within a block and is a good, free way to get to other areas for free. Breakfast on site was very good both mornings we tried it. As mentioned, City Center and Bayside Mall are easy to get to from the hotel."
Very Good,Great location for cruising,Stayed here the night before we were suppose to cruise. We came in late the same day that cruise lines were canceling because of the Corona virus. There was a bit of a problem because they had let a guest stay in the room that we had reserved and they didn't have any more of that class. They did give us another room with a rollaway bed though. They also comp'd the kids some snacks and the adults some drinks at the bar. The location is great if you are going on a cruise. Close to the port and easy to find transportation. The lobby bar and pool are good. The complimentary breakfast is decent. Would stay here again.
Excelent,Staff & location,"We were warmly greeted by  (? Name, Lucia?) although we arrived early. We decided to upgrade to rest before discovering the city. parking the rental was easy, the breakfast food was served by kind staff and was substantial (something for everyone). The coffee in the room was excellent- yum.  After our rest, we were greeted by name as we passed through the lobby- wow, we felt like the rich and famous!  I highly recommend this hotel. It is close to so much, so no car is necessary."
Average,Great Location ,We had an excellent experience with the staff until our final night. I had three staff members ensure I would not get lost taking public transit to south beach but the last night we came in late and the front desk girl was condescending.  The breakfast was AMAZING and the rooms were clean. I do have to say that although the location was great we would not stay at this hotel again. We could not adjust the air to our preference. There are limits on the settings and the 70 degrees felt like 78.    
Excelent,Stay before Cruise,"This really is a great Hampton inn.  The room was the nice and clean like I have learned to expect from a Hampton inn.  What stood out was the larger spread for breakfast, the bar and the outdoor pool, and ease to get there from airport.  We did take a Lyft from airport only because it was at night and I wasn't sure how safe the walk was from the train station, but saw it would not have been an issue.  The location was great for walking around in the evening and finding restaurants and seeing the ocean.  We were also able to get quick and cheap Lyft ride to cruise port in the morning."
Excelent,Amazing stay,"We had an amazing stay at this hotel. The staff was so nice and helpful. The breakfast was very nice. The location is also perfect since it’s so close to transportation and centrally located. We would also like to thank again Sony who was at the bar for his delicious cocktails for our last night there, he was so friendly and we loved speaking with him. This hotel sure is the place to stay in Miami"
Excelent,Awesome Hotel Experience,"The room was spacious and clean, the shower and tub are huge, the hotel is quiet and the breakfast was the best free buffet breakfast we’ve had. The hotel was walking distance to different restaurants amd centrally located to attractions that made it an easy drive. Great experience! We would definitely stay here again."
Excelent,"Great location, amenities and service","For a chain hotel this was anything but standard. While the rooms were what you would expect (clean, simple amenities, comfortable beds and quiet at night!), the rest of the hotel had tons of character. Staff were almost all friendly (bar staff were a little chilly), the free breakfast the best I have had at a chain hotel including lots of options hot and cold, free drinks/snacks for Hilton members, free 24 hour coffee/tea/fruit, fast wi-fi and a comfortable pool area/whirlpool. Hotel well-maintained except for slow clean-up on pool deck (where my mother and I had drinks and the glassware still hadn't been removed when we returned 3 hours later). Fantastic location close to all 3 forms of public transport, NYE events at Bayfront park, ocean walking path and restaurants. Would"
Excelent,Great overall experience,Upon arrival we were greeted with friendly staff and a manger with superior customer service skills.  Our room was not ready and he compensated us a drink while we waited.  He took time to recommend local establishments for dinner and a rooftop bar for drinks that were both wonderful options we enjoyed very much!  He checked us out in the morning and verified our satisfaction.  He gave us his business card and said if we traveled again to email him and he would set us up and take care of us.  His staff was courteous and responsive and rooms were very clean.  Would highly recommend the hotel and recognize Javier Gonzalez for his leadership!
Very Good,Still excellent value,"We stayed here several years ago when the hotel was nearly brand new.  Miami can be so expensive, so this is still a good option.  It is somewhat more reasonable and offers good value with attractive junior suites, good service and a expansive breakfast buffet.  I did find the bed to be far too hard for me on this trip.  I wish that they could provide foam toppers - and admittedly I forgot to try to request one.  The Brickell area is a great non-beach place to stay with some good walking and nice places to eat."
Excelent,Phenomenal Service,"My stay this past weekend at the Hampton Inn & Suites was great. It started off absolutely chaotic.  From delayed and canceled flights to long waits I expected this trip to be terrible BUT I happened to call the hotel ahead of time to confirm my accommodations and get help with checking in using the digital key. I spoke with Nakkea and she went ABOVE AND BEYOND to make sure that my friends and I got to the hotel safely and checked in. My friend arrived after Nakkea's shift ended but she stayed and made sure we were checked in and didn't need anything.  Everytime I called the hotel she promptly answered and helped me. The hotel itself is beautiful,  clean, and located in a wonderful part of downtown but the absolute best part of my trip was the staff.  Every person I came into"
Excelent,Great location in Miami,This hotel is 1/2 block from the Miami Metromover which is free and can get you to Bayside or Brightline. I attended a conference and spent much less than I would have at the host hotel and had a great room. Neighborhood is great with many excellent food options.
Terrible,Unfriendly staff and terrible management,"So i arrived at almost 3pm their usual check-in time a receptionist said oh we don’t have a room ready for you and i was like how?? I have a paid reservation can you explain when will i get the room, the Manager interrupted and said sorry we don’t know when but go to the lobby and will call you when it’s ready.. an hour and half later the manager came and said the room is ready i told her am sorry I don’t like how you guys dealt with the situation you didn’t even try to apologize.. How arrogant is that guests should at least be dealt with decently to feel welcome at least!! I canceled my booking and tool my wife and my baby to another hotel who can simply understand what hospitality is!! Definitely I don’t recommend to anyone specially to families.."
Excelent,"Great location for business, food n’ cruise","The recently remodeled rooms are roomy, clean and comfortable. Recommend for business or couples. A lot of great restaurants, shopping, grocery stores and people mover in walking distance.  Free EV/Tesla chargers. Park and cruise packages."
Excelent,Is this is an excellent Hampton Inn hotel!,"My husband and I stayed here for 6 nights in February and we had a great time! The staff was friendly and the service was excellent. Very clean hotel, not much noise for being downtown it was fairly quiet, the breakfast was great and they had a wonderful indoor breakfast area as well as very nice outdoor seating and pool area.  It was very safe and is located next to the metro rail, metro mover and trolley's.  Location is absolutely excellent and lots of dining right nearby. We felt very safe at this hotel also and they have a security guard there always at the front of the hotel.  We would definitely recommend this hotel to others and we would definitely stay there again ourselves!"
Excelent,Comfy and secure,"We were one of the 'lucky' couples whose cruise cancelled due to COVID-19.  The Hampton provided a place of comfort and security while we made arrangements to return home two days later. The pool was a nice treat, comfortable chase lounges, refreshing fruit flavored water, close distance to all sorts of eating establishments (this was before social distancing was enforced).  Internet was great and beds are fantastic. "
Very Good,BEST LOCATION IF VISITING BRICKELL.  VERY PLEASED WITH THIS CHOICE,"Had originally booked at a Hyatt but their pool closed so I wanted to rebook.  Decided to go with Hampton Inn based on studying maps of where most restaurants etc. are in Brickell and I was extremely happy with the choice.  The location is terrific.  The property is very very decent.  They have self parking for $25 a night.  Not too high for the area.  There are a few parking spaces you can use for unloading while going to check in.  No bell hops but saw racks you can borrow.  Reception is on the main floor which is 6 and everybody very professional.  Very nice room, much better than I saw on website.  Good size, very clean, plenty of hot water.  A basic buffet breakfast.  Not gourmet but coffee is pretty good and enough choices to hold you over for a while.  If visiting"
Very Good,Solid choice,"Shows better than your typical Hampton Inn. High rise property in general good condition/repair. Close to subway transit, 20 min to airport, easy check-in, middle of Brickell area (plenty of walkable restaurants/activities). Check in smooth. Room furnishing OK (microwave/frig in room). Bedding comfortable. Somewhat small windows. Bathroom spacious and well lighted. Wifi worked well. Pool is relatively small. Rooms not serviced during Covid and breakfast is a takeway bag (often long line). Checkin/out easy."
Excelent,Love ms nicki,Ms nicki was the best she made sure that my husband and I had the best treatment.Her hospitality was out of this world will be coming back soon. She answered all of our questions and even called to make sure we sure we were fine 
Excelent,Will stay here again!,"Stayed here after attending an afternoon ballgame, 15 minutes away.  Great place.  Looked new.  Very clean; friendly staff.  LOTS of restaurants around.  Nearby walk to the ocean, albeit not the beach.  Wonderful, albeit typical, breakfast in the morning:  fix-your-own waffles, eggs, sausages, potatoes, cereals, etc.  Plenty of parking in hotel and across the street.  Hotel has 4 or 5 charging stations, too."
Poor,Needs work,"We stayed at this hotel over the weekend. During that time, the hot tub never got hot, the towels by the pool were never refilled, the pool bar doesn’t open until 5pm but the pool closes at dusk. The rooms have not gotten the remodel to match the level of the common areas but the common areas were beautiful. "
Very Good,Nice stay at Brickell! Very friendly staff,"By the downtown, very lively city center. Close to very nice restaurants. Hotel is what you need from a hotel, comfortable, safe, reliable. Extra is the friendly staff. Newly renovated rooms are good. Has a private parking, 28 USD per night- convenient for Miami. COVID precautions are well known by staff- most of the staying people were wearing face masks too. Breakfast is ok, could be better. Covid-19 made the hotel breakfasts unpleasant, nothing to blame on the hotel."
Excelent,In the Heart of Brickell Miami ,"We booked this hotel due to the proximity to my daughter’s condo and also to the cruise port.  I enjoyed our 2 nights at the hotel so much due to the close proximity to restaurants, shops, Publix and Whole Foods!!!  Given the large amount of travelers during the holiday season,  the morning breakfast buffet was quite crowded.  I’m sure it’s pretty normal so we will need to wake up a bit earlier to beat the crowd.  Overall experience was fantastic!! We received free drink vouchers for our Gold Member status.  We truly appreciate it since it was least expected!!  Thank you Hilton!!  "
Excelent,good location near all stations,"Good hotel. The food for breakfast is American style, for my life was difficult. It was tasty but not healthy. My kids like it but my life eats only fruits:) Near the hotel was a free ride stations for bus and train, so you can go everywhere at the city for free. We use Uber and Lift and with some exception was OK. The neighborhood is business, quite and safe. Our friend prefer Miami beach but this hotel is new, more comfortable and near supermarket and pharmacy."
Excelent,A MUST Stay,"The hotel is beautiful, clean, spacious and located in the heart of downtown, Miami; close to the best restaurants that you need to dine. Hotel is also close to South Beach, offers free breakfast, free drinks and snacks. WE LOVED IT as a family!"
Very Good,Jackie was so Helpful!!,The hotel itself was nice and really efficient staff. However afterwards I had a problem with valet charges (hotel charged me for 3 cars instead or 2). Later I called customer service and a staff member named Jackie was super kind and helpful. She helped me sort everything out and got my refund with no problems at all! Thank you so much again Jackie you were amazing!! I will definitely be coming back.
Excelent,The Friendliest Staff Ever,"Wow, I was blown away with my stay.  I was checked in by John (OverNight shift) & he made my check in process a smooth breeze. The morning team (Nyykia, Victoria, Jonathan, Nathan) THANK YOU GUYS for being so amazing, helpful, accommodating, and super-friendly. Breakfast was great, plenty options for everyone in the family.Room was comfortable, bright, and well stocked with towels, blankets, extra pillow, shampoo, cap, conditioner, and much more."
Excelent,"Perfect, once again","This hotel is perfect if you need to be in downtown Miami. It is near everything in Brickell surroundings, and if you need to go to downtown, the mover station is half block away. The hotel is very good, and the staff is always ready yo help."
Excelent,Miami Cruise Ship Stay,"Wonderful hotel for a family. We stayed the night prior to our cruise departure. Hotel was clean, the room was huge, plenty of space for all of our luggage and to spread out.  We used the pool, which was clean and easy to access. Our teenagers worked out in the fitness center which had several cardio machines, free weights, and lifting machines.  The breakfast area was clean, well stocked, and food was fresh. Close proximity to great restaurants and night life. Overall it was a wonderful stay and we will be booking our stay again.  We only had one mishap with a teen getting stuck in an elevator because her cell phone room key was not working. "
Excelent,Relocation visit,"We moved to Miami from Mexico City as part of my job’s relocation.  We were housed the first two weeks here while I got basics for my new and current home just one block away. Today, I see this hotel from my terrace.  My office is also just four blocks away.   Great hotel.  We were surprised as I travel (pre Covid) often on business. Our Miami house hunting trip housed us at Four Seasons.  We appreciated the free breakfast, reasonable pricing for food and drinks, newspaper and service all around that was excellent.   Great front desk, security guards, barmen, servers, housekeepers.   We stiil credit this hotel with our success in feeling confortable as we relocated.  "
Very Good,Value for money,"The hotel was clean, well-run, and with friendly and helpful staff. There are plenty of restaurants and bars in the neighborhood. Due to Spring Break there were some rowdy and intoxicated guests, but the hotel dealt with them in a professional manner to avoid any disturbance for other guests."
Excelent,Weekend Getaway,"Stayed at this hotel for a weekend at the end of February. The room was clean and neat. I expected some noise since we stayed during the weekend but it was nice and quiet with slight outdoor noise. The restaurants around the restaurant were great. We had dinner at the Cuban restaurant and the gastro pub. It is very convenient to have such great options down stairs. The only issue I had was we booked the FL resident rate room and received none of the perks of booking that room. The free parking was the highlight, but the desk attendant only gave us half off. Other than that, it was a great stay and would stay there again. "
Very Good,Great location/price ratio,"Within a week we stayed here and in another nearby hotel priced very similar. This hotel was better in all aspects location, rooms, public areas and service. The staff is super friendly and also they offer shuttle service to the port of miami with a fee. "
